[2026-03-02 10:35:06] ip=127.0.0.1 impact=16 tags=xss,csrf,id,rfe,lfi uri=/plain-php-ecommerce/?q=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:36:49] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:36:51] ip=::1 impact=53 tags=xss,csrf,id,sqli,lfi,rfe uri=/plain-php-ecommerce/?id=%27%20OR%201=1%20--
[2026-03-02 10:36:53] ip=::1 impact=53 tags=xss,csrf,id,sqli,lfi,rfe uri=/plain-php-ecommerce/?id=%27%20OR%201=1%20--
[2026-03-02 10:36:53] ip=::1 impact=53 tags=xss,csrf,id,sqli,lfi,rfe uri=/plain-php-ecommerce/?id=%27%20OR%201=1%20--
[2026-03-02 10:40:19] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:20] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:21] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:21] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:21] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:21] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:21] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:22] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/plain-php-ecommerce/index.php?x=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:49] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/index.php?test=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:51] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/index.php?test=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:54] ip=::1 impact=53 tags=xss,csrf,id,rfe,lfi,sqli uri=/index.php?test=%3Cscript%3Ealert(1)%3C/script%3E
[2026-03-02 10:40:57] ip=::1 impact=37 tags=xss,csrf,sqli,id,lfi,rfe uri=/
[2026-03-02 10:40:58] ip=::1 impact=37 tags=xss,csrf,sqli,id,lfi,rfe uri=/
